relative_time,BarometerSensor
64838,1017.2598266601562
64918,1017.2542724609375
64997,1017.2466430664062
65037,1017.2343139648438
65116,1017.2462158203125
65198,1017.2271118164062
65237,1017.2776489257812
65317,1017.2661743164062
65397,1017.248779296875
65436,1017.2642822265625
65517,1017.25048828125
65597,1017.260009765625
65636,1017.268310546875
65717,1017.27685546875
65797,1017.2802124023438
65836,1017.2493896484375
65916,1017.2608642578125
65997,1017.2861938476562
66038,1017.270263671875
66117,1017.2689819335938
66197,1017.24853515625
66236,1017.2694091796875
66317,1017.2806396484375
66397,1017.2515258789062
66436,1017.2608642578125
66517,1017.2468872070312
66599,1017.2612915039062
66636,1017.280029296875
66717,1017.260009765625
66797,1017.2744750976562
66837,1017.2615356445312
66918,1017.271728515625
66999,1017.2711181640625
67037,1017.2625732421875
67117,1017.257080078125
67201,1017.2711181640625
67237,1017.2727661132812
67318,1017.243896484375
67399,1017.2555541992188
67436,1017.24560546875
67518,1017.2517700195312
67596,1017.2427978515625
67636,1017.2474975585938
67717,1017.2526245117188
67797,1017.2713012695312
67836,1017.2615356445312
67917,1017.2813110351562
67997,1017.2496337890625
68038,1017.25390625
68117,1017.27490234375
68197,1017.26513671875
68237,1017.2649536132812
68316,1017.2451782226562
68397,1017.2760009765625
68436,1017.2736206054688
68517,1017.2804565429688
68598,1017.2708740234375
68637,1017.2612915039062
68720,1017.2678833007812
68797,1017.261962890625
68836,1017.2621459960938
68917,1017.2744750976562
68997,1017.27978515625
69037,1017.275146484375
69117,1017.2885131835938
69196,1017.282958984375
69238,1017.28466796875
69316,1017.2808837890625
69396,1017.30615234375
69439,1017.305908203125
69517,1017.3071899414062
69598,1017.3163452148438
69637,1017.3203735351562
69716,1017.32763671875
69797,1017.345703125
69836,1017.3497314453125
69917,1017.3501586914062
69997,1017.39453125
70037,1017.3887939453125
70117,1017.4017944335938
70197,1017.3845825195312
70237,1017.42919921875
70318,1017.4364013671875
70396,1017.4304809570312
70436,1017.45361328125
70517,1017.4729614257812
70597,1017.46826171875
70636,1017.479736328125
70717,1017.486328125
70796,1017.498046875
70836,1017.5025024414062
70917,1017.5301513671875
70996,1017.54052734375
71036,1017.5418090820312
71117,1017.558837890625
71199,1017.6057739257812
71236,1017.620849609375
71317,1017.6548461914062
71397,1017.653564453125
71436,1017.6807861328125
71517,1017.68798828125
71599,1017.758544921875
71636,1017.7681274414062
71717,1017.7547607421875
71799,1017.8171997070312
71837,1017.8070068359375
71917,1017.8465576171875
71998,1017.876953125
72036,1017.8828735351562
72118,1017.888427734375
72197,1017.9122314453125
72237,1017.940673828125
72319,1017.95068359375
72399,1017.9708251953125
72437,1017.9908447265625
72518,1017.9989013671875
72597,1018.022705078125
72636,1018.0643310546875
72717,1018.0764770507812
72797,1018.0858154296875
72837,1018.0960083007812
72919,1018.1329956054688
72996,1018.1321411132812
73036,1018.16845703125
73117,1018.1939697265625
73197,1018.1975708007812
73236,1018.21142578125
73319,1018.2534790039062
73396,1018.2694091796875
73436,1018.3016967773438
73517,1018.3072509765625
73597,1018.335693359375
73636,1018.3493041992188
73717,1018.3421020507812
73797,1018.3529052734375
73837,1018.416259765625
73917,1018.41796875
73998,1018.4525756835938
74041,1018.4634399414062
74117,1018.5016479492188
74197,1018.519287109375
74237,1018.5333251953125
74317,1018.5592651367188
74397,1018.5446166992188
74437,1018.56884765625
74517,1018.5816040039062
74597,1018.6223754882812
74637,1018.6317138671875
74717,1018.6504516601562
74796,1018.6710205078125
74836,1018.6975708007812
74917,1018.6918334960938
74997,1018.720947265625
75036,1018.7271118164062
75117,1018.7603149414062
75197,1018.7874755859375
75236,1018.8197631835938
75316,1018.8099975585938
75396,1018.8641967773438
75436,1018.9009399414062
75516,1018.8927001953125
75597,1018.93115234375
75636,1018.939453125
75717,1018.9631958007812
75797,1018.9862060546875
75837,1019.0110473632812
75917,1019.029541015625
75996,1019.05908203125
76037,1019.068603515625
76117,1019.1064453125
76197,1019.1285400390625
76236,1019.1487426757812
76317,1019.154052734375
76397,1019.1742553710938
76436,1019.2095336914062
76517,1019.2258911132812
76599,1019.2271728515625
76637,1019.2862548828125
76717,1019.2894287109375
76801,1019.3006591796875
76837,1019.3421020507812
76916,1019.3516845703125
76998,1019.3677978515625
77038,1019.3988647460938
77117,1019.40478515625
77203,1019.4224243164062
77237,1019.446044921875
77317,1019.4711303710938
77397,1019.4829711914062
77437,1019.4714965820312
77521,1019.5104370117188
77597,1019.5463256835938
77637,1019.5411987304688
77721,1019.5731201171875
77797,1019.6055908203125
77837,1019.59521484375
77918,1019.6117553710938
77997,1019.6591796875
78037,1019.690185546875
78117,1019.703369140625
78197,1019.7734985351562
78236,1019.7643432617188
78318,1019.7703247070312
78397,1019.8466186523438
78436,1019.8385009765625
